Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2021,Out,0,0,0,70,0,0,0,0,0,0,0,0,-10000,0
2021,Abilene Christian,71.6065,75,69.974,101,106.373,73,103.778,157,86.3925,1,92.2693,30,11.5087,85
2021,Air Force,63.9145,341,63.1243,349,92.1076,319,95.2022,299,112.554,337,109.82,322,-14.6181,329
2021,Akron,69.9086,142,68.801,156,108.567,43,109.494,72,102.99,221,99.8865,139,9.6075,99
2021,Alabama,75.3668,7,74.24,7,105.642,84,112.165,36,92.0821,16,85.6357,1,26.5297,8
2021,Alabama A&M,69.9672,139,67.8267,210,88.2408,341,85.1402,354,94.3829,33,105.183,256,-20.0432,348
2021,Alabama St.,72.35,48,71.0986,64,88.7809,338,84.6836,356,98.676,96,109.807,321,-25.1234,354
2021,Albany,69.6695,150,69.9119,105,99.3743,206,98.0455,260,98.7827,100,103.143,207,-5.09798,234
2021,Alcorn St.,71.1493,92,69.7328,111,93.3911,307,91.2774,337,105.749,275,109.603,320,-18.3257,346
2021,American,67.7295,238,67.6846,223,97.2799,252,97.386,271,104.022,242,105.167,255,-7.78141,261
2021,Appalachian St.,66.0679,308,65.7017,309,100.327,189,100.143,228,101.33,166,103.087,205,-2.94395,209
2021,Arizona,68.2874,211,68.0445,196,109.611,34,114.151,26,99.7887,127,96.8137,86,17.337,44
2021,Arizona St.,72.5746,45,72.8349,23,101.415,168,107.222,102,105.508,269,99.5949,129,7.62756,114
2021,Arkansas,75.3323,8,73.0681,17,108.753,39,112.32,34,93.4594,23,89.3963,15,22.9236,18
2021,Arkansas Pine Bluff,69.4302,168,67.2779,239,88.4297,340,91.5058,335,109.74,320,114.163,355,-22.6574,351
2021,Arkansas St.,69.15,177,67.9343,205,99.682,202,99.7283,235,102.533,209,106.347,274,-6.6185,251
2021,Army,69.9251,141,68.379,181,100.851,182,99.4065,239,100.723,153,100.548,156,-1.14174,190
2021,Auburn,73.3981,30,71.2576,55,104.136,110,112.118,37,102.899,218,97.6959,102,14.4217,63
2021,Austin Peay,68.6263,196,67.0882,248,105.545,86,104.648,135,103.343,227,107.995,302,-3.34679,215
2021,Ball St.,72.104,56,70.9906,68,102.735,146,104.256,143,103.684,232,100.407,153,3.84915,138
2021,Baylor,70.2185,123,68.4062,178,119.43,2,124.014,3,94.472,35,93.135,44,30.8785,4
2021,Bellarmine,65.4292,322,64.7063,333,111.008,23,108.11,90,104.34,245,107.947,300,0.16286,183
2021,Belmont,71.8891,65,71.067,65,113.007,12,110.259,61,96.1514,55,101.072,167,9.18675,104
2021,Bethune Cookman,0,348,72.5337,25,0,348,90.966,341,200,348,111.629,341,-20.663,349
2021,Binghamton,66.1369,305,66.2648,287,97.0683,257,97.8936,263,107.511,297,111.397,339,-13.5033,322
2021,Boise St.,69.8849,143,69.4142,126,108.042,52,109.873,68,95.6521,50,94.9572,63,14.9161,60
2021,Boston College,71.8469,67,71.1375,61,98.6866,220,105.716,122,109.915,323,102.516,198,3.19974,143
2021,Boston University,67.6889,242,65.8855,304,102.608,147,101.244,207,109.222,316,108.197,307,-6.95272,255
2021,Bowling Green,72.2045,53,70.4424,88,107.081,59,107.925,94,103.91,239,101.376,179,6.54934,121
2021,Bradley,65.8918,315,66.2052,290,101.087,177,104.15,147,102.53,208,100.72,158,3.42938,141
2021,Brown,0,348,69.9117,106,0,348,96.028,289,200,348,101.863,183,-5.835,244
2021,Bryant,75.5113,6,73.611,14,107.685,57,104.434,139,98.1263,83,103.319,210,1.1152,174
